opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,geocode_quality
70095,LOVES TRAVEL STOP #713,US-380 & FM-1304,Bridgeport,TX,630,2.949,33.22281,-97.75331,ADDRESS
20108,TEX-BEST #501,"I-37, EXIT 125",Elmendorf,TX,740,2.949,29.21219,-98.41473,INTERSECTION
68261,STRIPES #2294,US-83 & FM-1120,Leakey,TX,740,2.949,29.71497,-99.76328,INTERSECTION
69436,CIRCLE K #2741077,SR-97 & CR-433,Pleasanton,TX,747,2.949,28.96231,-98.48155,ADDRESS
72447,SHEETZ #689,I-64 EXIT 197A & SR-156,Henrico,VA,180,2.949,37.65129,-77.5971,POINT
60383,CASEYS #4399,"I-70, EXIT 175",New Florence,MO,392,2.949,38.90043,-91.45979,INTERSECTION
69037,CIRCLE K #2723192,US-64 & US-421,Siler City,NC,177,2.949,35.73324,-79.46188,ADDRESS
73031,Travel Refresh,US 59,Corrigan,TX,618,2.949,31.0044,-94.8252,STREET
66548,YESWAY #1156,US-84 & SR-289,Lubbock,TX,700,2.95066666,33.53377,-101.83218,ADDRESS
1874,CIRCLE K #2744529,US-175,Seagoville,TX,630,2.95066666,32.65392,-96.55454,STREET
69816,STRIPES #42503,"I-27, EXIT 1",Lubbock,TX,700,2.95066666,33.67488,-101.83594,STREET
72477,Racetrac #2618,US-231 & CR-8,Huntsville,AL,615,2.95066666,34.58648,-86.55893,ADDRESS
6448,CIRCLE K #2723392,"I-59, EXIT 97 & US-84",Laurel,MS,620,2.95233333,31.66182,-89.15978,POINT
66372,CEFCO #54,"I-35, EXIT 292",Belton,TX,765,2.95233333,31.05403,-97.45228,ADDRESS
72710,KWIK STAR #1285,I-229 EXIT 9,Sioux Falls,SD,530,2.95233333,43.58227,-96.69308,INTERSECTION
69252,SPEEDWAY #6977,SR-96,Youngsville,NC,205,2.95233333,36.05194,-78.5104,STREET
67876,KUM & GO #0880,"US-412, EXIT 36",Stillwater,OK,560,2.954,36.38357,-97.07059,POINT
69871,CIRCLE K #2741595,SR-71 & FM-1209,Bastrop,TX,595,2.954,30.12226,-97.43292,INTERSECTION
68559,KUM & GO #0779,"I-35, EXIT 92 & US-136",Bethany,MO,320,2.95566666,40.26886,-94.01286,POINT
71299,QUIKTRIP #7903,"I-35, EXIT 331",Waco,TX,765,2.95566666,31.55092,-97.1234,ADDRESS
66014,BIG D TRAVEL CENTER,SR-12 & SR-183,Irving,TX,630,2.95566666,32.80196,-96.94816,ADDRESS
2761,PONY EXPRESS SERVICE CENTER,US-36 & SR-148,Hanover,KS,316,2.95566666,39.89244,-96.86229,STREET
68988,7-ELEVEN #40547,US-281 & SR-29,Burnet,TX,740,2.95733333,30.75872,-98.22583,ADDRESS
70416,ALLSUPS CONVENIENCE STORE #2361,US-54 & US-287,Stratford,TX,585,2.95733333,36.33246,-102.07377,ADDRESS
73128,ALLSUPS CONVENIENCE STORE #2477,HWY 69 & 11th st,Kiowa,OK,253,2.95733333,34.65474,-98.9564,ADDRESS
